369	RED RED PILOT LAMP	Unknown	Freezer	0
370	GREEN RED PILOT LAMP	Unknown	Freezer	0
371	LOWER HEATING ELEMENT BOX	Electrical box 	Oven	1
372	BUTTONS (PROGRAMMER) FZ 66 IX	Unknown	Oven	0
373	SUPPORT	Select support	Freezer	1
374	KNOB DISC MAIN GAS CANNON DIAMOND INOX	Knob / Button	Cooker Hood	1
375	BLANKING PLUG (H.14 D.13,8/5,9-INOX MET	Unknown	Refrigerator	0
376	TRIMMER KNOB IRIDIUM	Knob / Button	Unknown	1
377	ELECTRIC OVEN KNOB	Knob / Button	Oven	1
378	TRIMMER KNOB PW	Knob / Button	Unknown	1
379	PROGRAMMER KNOB E0 IND.PREMIUM IX	Knob / Button	Oven	1
380	GAS KNOB INDESIT P.I. IP 6-7	Knob / Button	Cooker Hood	1
381	PLINTH PANEL KRINKL-BLACK	Panel	Dishwasher	1
382	DOOR STOP BUSH RH -/CE-W	Bush	Refrigerator	1
383	INOX BASE LEFT	Unknown	Refrigerator	0
384	KNOB THERMOSTAT (REF)SR-GR/465	Knob / Button	Refrigerator	1
385	CHILLER BOX COVER L70	Electrical box 	Refrigerator	1
386	SOCKET-DRAIN MTZ522NF/HA	Unknown	Refrigerator	0
387	WHITE(PW) COVER HA TL NEW EST 2008	External cover	Washing Machine	1
388	KNOB IX EOS	Knob / Button	Dishwasher	1
389	HINGE BUSH	Unknown	Freezer	0
390	SILVER HANDLE - UPPER LH/LOWER RH	Handle	Refrigerator	1
391	UPPER HINGE COVER RH INOX	Hinge	Unknown	1
392	ICE TRAY	Unknown	Refrigerator	0
393	CENTRAL PROFILE RUNNER 4D	Unknown	Refrigerator	0
394	SLIDE RH RUNNER	Unknown	Refrigerator	0
395	SLIDE LEFT RUNNER	Unknown	Refrigerator	0
396	PLINTH WHITE PW INDESIT PRIME	Unknown	Washing Machine	0
397	DRAWER HANDLE NEW AQ (CSI) 6Kg	Detergent Drawer	Washing Machine	1
398	COVER LEFT HINGE SUPPORT	Select support	Cooker Hood	1
399	DRAWER HANDLE NEW AQ IT 6KG	Detergent Drawer	Washing Machine	1
400	DRAWER HANDLE NEW AQ8F X (FR)	Detergent Drawer	Washing Machine	1
401	DEFLECTOR TUBE	Unknown	Unknown	0
402	FREEZER SHELF-BLUE WXH 432X75X61 (PRIME)	Unknown	Refrigerator	0
403	ELECTRIC OVEN KNOB MAIN PUSH NICKEL	Knob / Button	Cooker Hood	1
404	OPTION BUTTON WD STEAM AQ (3)	Knob / Button	Unknown	1
405	DRAWER HANDLE NEW AQ PRA30 IT DIGIT	Detergent Drawer	Washing Machine	1
406	KNOB WHITE(PW) EOS INDEST 45 EOS	Knob / Button	Dishwasher	1
